"","country","max_full_vac","max_full_vac_num","max_total_vac"
"157","Sao Tome and Principe",-Inf,-Inf,9724
"158","Liechtenstein",-Inf,-Inf,6914
"159","Anguilla",-Inf,-Inf,5835
"160","Trinidad and Tobago",-Inf,-Inf,4777
"161","Falkland Islands",49.3,1717,4322
"162","Gabon",-Inf,-Inf,3925
"163","Mauritius",-Inf,-Inf,3843
"164","Saint Helena",-Inf,-Inf,3107
"165","Mauritania",-Inf,-Inf,2930
"166","Namibia",-Inf,-Inf,2526
"167","Kosovo",-Inf,-Inf,2500
"168","Syria",-Inf,-Inf,2500
"169","Brunei",-Inf,-Inf,2323
"170","Cape Verde",-Inf,-Inf,2184
"171","Kyrgyzstan",-Inf,-Inf,2100
"172","Solomon Islands",-Inf,-Inf,2000
"173","Montserrat",3.88,194,1306
"174","Mali",-Inf,-Inf,643
"175","Armenia",-Inf,-Inf,565
"176","Papua New Guinea",-Inf,-Inf,250
